1731238861.754125 server started (23799): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1731238861.754137 on Linux 6.11.6-arch1-1 #1 SMP PREEMPT_DYNAMIC Fri, 01 Nov 2024 03:30:41 +0000
1731238861.754144 using libevent 2.1.12-stable poll
1731238861.754150 using utf8proc 2.9.0
1731238861.754152 using ncurses 6.5 20240427
1731238861.776940 args_parse: 2 = cursor-left (type STRING)
1731238861.776943 cmd_parse_build_commands: send-keys -X cursor-left
1731238861.776945 args_parse_flags: next -Tcopy-mode
1731238861.776947 args_parse_flag_argument: -T = copy-mode
1731238861.776949 args_parse_flags: next Left
1731238861.776951 args_parse: flags end at 2 of 4
1731238861.776952 args_parse: 2 = Left (type STRING)
1731238861.776955 args_parse: 3 = send-keys -X cursor-left (type COMMANDS)
1731238861.776959 cmd_parse_build_commands: bind-key -T copy-mode Left { send-keys -X cursor-left }
1731238861.776962 cmdq_get_command: [bind-key/0x63318e83e690] group 1684
1731238861.776964 cmdq_append <global>: [bind-key/0x63318e83e690]
1731238861.776968 yylex_token: end at WS
1731238861.776970 yylex_token: bind
1731238861.776972 yylex_token: end at WS
1731238861.776974 yylex_token: -Tcopy-mode
1731238861.776976 yylex_token: end at WS
1731238861.776978 yylex_token: Right
1731238861.776980 yylex_token: end at WS
1731238861.776982 yylex_token: send
1731238861.776984 yylex_token: end at WS
1731238861.776985 yylex_token: -X
1731238861.776987 yylex_token: end at WS
1731238861.776989 yylex_token: cursor-right
1731238861.776992 cmd_parse_build_commands 0:0: bind
1731238861.776994 cmd_parse_build_commands 0:1: -Tcopy-mode
1731238861.776996 cmd_parse_build_commands 0:2: Right
1731238861.776998 cmd_parse_build_commands 0:3 0:0: send
1731238861.777000 cmd_parse_build_commands 0:3 0:1: -X
1731238861.777002 cmd_parse_build_commands 0:3 0:2: cursor-right
1731238861.777004 cmd_parse_build_commands 0:0: send
1731238861.777009 cmd_parse_build_commands 0:1: -X
1731238861.777011 cmd_parse_build_commands 0:2: cursor-right
1731238861.777014 args_parse_flags: next -X
1731238861.777016 args_parse_flags: -X
1731238861.777018 args_parse_flags: next cursor-right
1731238861.777020 args_parse: flags end at 2 of 3
1731238861.777022 args_parse: 2 = cursor-right (type STRING)
1731238861.777025 cmd_parse_build_commands: send-keys -X cursor-right
1731238861.777027 args_parse_flags: next -Tcopy-mode
1731238861.777029 args_parse_flag_argument: -T = copy-mode
1731238861.777031 args_parse_flags: next Right
1731238861.777033 args_parse: flags end at 2 of 4
1731238861.777035 args_parse: 2 = Right (type STRING)
1731238861.777038 args_parse: 3 = send-keys -X cursor-right (type COMMANDS)
1731238861.777042 cmd_parse_build_commands: bind-key -T copy-mode Right { send-keys -X cursor-right }
1731238861.777044 cmdq_get_command: [bind-key/0x63318e83ebb0] group 1692
1731238861.777046 cmdq_append <global>: [bind-key/0x63318e83ebb0]
1731238861.777049 yylex_token: end at WS
1731238861.777051 yylex_token: bind
1731238861.777053 yylex_token: end at WS
1731238861.777055 yylex_token: -Tcopy-mode
1731238861.777057 yylex_token: end at WS
1731238861.777059 yylex_token: M-1
1731238861.777061 yylex_token: end at WS
1731238861.777063 yylex_token: command-prompt
1731238861.777065 yylex_token: end at WS
1731238861.777067 yylex_token: -Np(repeat)
1731238861.777069 yylex_token: end at WS
1731238861.777074 yylex_token: -I1
1731238861.777078 yylex_token: end at WS
1731238861.777080 yylex_token: send
1731238861.777082 yylex_token: end at WS
1731238861.777083 yylex_token: -N
1731238861.777085 yylex_token: end at WS
1731238861.777087 yylex_token: %%
1731238861.777090 cmd_parse_build_commands 0:0: bind
1731238861.777092 cmd_parse_build_commands 0:1: -Tcopy-mode
1731238861.777120 cmd_parse_build_commands 0:2: M-1
1731238861.777122 cmd_parse_build_commands 0:3 0:0: command-prompt
1731238861.777124 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1731238861.777126 cmd_parse_build_commands 0:3 0:2: -I1
1731238861.777129 cmd_parse_build_commands 0:3 0:3 0:0: send
1731238861.777131 cmd_parse_build_commands 0:3 0:3 0:1: -N
1731238861.777133 cmd_parse_build_commands 0:3 0:3 0:2: %%
1731238861.777135 cmd_parse_build_commands 0:0: command-prompt
1731238861.777137 cmd_parse_build_commands 0:1: -Np(repeat)
1731238861.777139 cmd_parse_build_commands 0:2: -I1
1731238861.777155 cmd_parse_build_commands 0:3 0:0: send
1731238861.777157 cmd_parse_build_commands 0:3 0:1: -N
1731238861.777159 cmd_parse_build_commands 0:3 0:2: %%
1731238861.777161 cmd_parse_build_commands 0:0: send
1731238861.777163 cmd_parse_build_commands 0:1: -N
1731238861.777165 cmd_parse_build_commands 0:2: %%
1731238861.777168 args_parse_flags: next -N
1731238861.777170 args_parse_flag_argument: -N = %%
1731238861.777172 args_parse: flags end at 3 of 3
1731238861.777175 cmd_parse_build_commands: send-keys -N "%%"
1731238861.777177 args_parse_flags: next -Np(repeat)
1731238861.777179 args_parse_flags: -N
1731238861.777181 args_parse_flag_argument: -p = (repeat)
1731238861.777183 args_parse_flags: next -I1
1731238861.777185 args_parse_flag_argument: -I = 1
1731238861.777187 args_parse: flags end at 3 of 4
1731238861.777190 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1731238861.777195 cmd_parse_build_commands: command-prompt -N -I 1 -p (repeat) { send-keys -N "%%" }
1731238861.777197 args_parse_flags: next -Tcopy-mode
1731238861.777199 args_parse_flag_argument: -T = copy-mode
1731238861.777201 args_parse_flags: next M-1
1731238861.777203 args_parse: flags end at 2 of 4
1731238861.777205 args_parse: 2 = M-1 (type STRING)
1731238861.777209 args_parse: 3 = command-prompt -N -I 1 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1731238861.777215 cmd_parse_build_commands: bind-key -T copy-mode M-1 { command-prompt -N -I 1 -p (repeat) { send-keys -N "%%" } }
1731238861.777218 cmdq_get_command: [bind-key/0x63318e83fc10] group 1700
1731238861.777220 cmdq_append <global>: [bind-key/0x63318e83fc10]
1731238861.777224 yylex_token: end at WS
1731238861.777230 yylex_token: bind
1731238861.777232 yylex_token: end at WS
1731238861.777234 yylex_token: -Tcopy-mode
1731238861.777236 yylex_token: end at WS
1731238861.777238 yylex_token: M-2
1731238861.777240 yylex_token: end at WS
1731238861.777242 yylex_token: command-prompt
1731238861.777244 yylex_token: end at WS
1731238861.777246 yylex_token: -Np(repeat)
1731238861.777248 yylex_token: end at WS
1731238861.777250 yylex_token: -I2
1731238861.777252 yylex_token: end at WS
1731238861.777254 yylex_token: send
1731238861.777256 yylex_token: end at WS
1731238861.777258 yylex_token: -N
1731238861.777260 yylex_token: end at WS
1731238861.777261 yylex_token: %%
1731238861.777264 cmd_parse_build_commands 0:0: bind
1731238861.777266 cmd_parse_build_commands 0:1: -Tcopy-mode
1731238861.777268 cmd_parse_build_commands 0:2: M-2
1731238861.777270 cmd_parse_build_commands 0:3 0:0: command-prompt
1731238861.777272 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1731238861.777274 cmd_parse_build_commands 0:3 0:2: -I2
1731238861.777276 cmd_parse_build_commands 0:3 0:3 0:0: send
1731238861.777278 cmd_parse_build_commands 0:3 0:3 0:1: -N
1731238861.777280 cmd_parse_build_commands 0:3 0:3 0:2: %%
1731238861.777283 cmd_parse_build_commands 0:0: command-prompt
1731238861.777285 cmd_parse_build_commands 0:1: -Np(repeat)
1731238861.777287 cmd_parse_build_commands 0:2: -I2
1731238861.777289 cmd_parse_build_commands 0:3 0:0: send
1731238861.777291 cmd_parse_build_commands 0:3 0:1: -N
1731238861.777293 cmd_parse_build_commands 0:3 0:2: %%
1731238861.777295 cmd_parse_build_commands 0:0: send
1731238861.777297 cmd_parse_build_commands 0:1: -N
1731238861.777299 cmd_parse_build_commands 0:2: %%
1731238861.777302 args_parse_flags: next -N
1731238861.777304 args_parse_flag_argument: -N = %%
1731238861.777306 args_parse: flags end at 3 of 3
1731238861.777309 cmd_parse_build_commands: send-keys -N "%%"
1731238861.777311 args_parse_flags: next -Np(repeat)
1731238861.777313 args_parse_flags: -N
1731238861.777315 args_parse_flag_argument: -p = (repeat)
1731238861.777317 args_parse_flags: next -I2
1731238861.777319 args_parse_flag_argument: -I = 2
1731238861.777321 args_parse: flags end at 3 of 4
1731238861.777323 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1731238861.777328 cmd_parse_build_commands: command-prompt -N -I 2 -p (repeat) { send-keys -N "%%" }
1731238861.777330 args_parse_flags: next -Tcopy-mode
1731238861.777332 args_parse_flag_argument: -T = copy-mode
1731238861.777334 args_parse_flags: next M-2
1731238861.777336 args_parse: flags end at 2 of 4
1731238861.777338 args_parse: 2 = M-2 (type STRING)
1731238861.777342 args_parse: 3 = command-prompt -N -I 2 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1731238861.777347 cmd_parse_build_commands: bind-key -T copy-mode M-2 { command-prompt -N -I 2 -p (repeat) { send-keys -N "%%" } }
1731238861.777350 cmdq_get_command: [bind-key/0x63318e840610] group 1712
1731238861.777352 cmdq_append <global>: [bind-key/0x63318e840610]
1731238861.777356 yylex_token: end at WS
1731238861.777359 yylex_token: bind
1731238861.777361 yylex_token: end at WS
1731238861.777363 yylex_token: -Tcopy-mode
1731238861.777365 yylex_token: end at WS
1731238861.777366 yylex_token: M-3
1731238861.777369 yylex_token: end at WS
1731238861.777370 yylex_token: command-prompt
1731238861.777373 yylex_token: end at WS
1731238861.777374 yylex_token: -Np(repeat)
1731238861.777376 yylex_token: end at WS
1731238861.777378 yylex_token: -I3
1731238861.777380 yylex_token: end at WS
1731238861.777382 yylex_token: send
1731238861.777384 yylex_token: end at WS
1731238861.777386 yylex_token: -N
1731238861.777388 yylex_token: end at WS
1731238861.777389 yylex_token: %%
1731238861.777392 cmd_parse_build_commands 0:0: bind
1731238861.777394 cmd_parse_build_commands 0:1: -Tcopy-mode
1731238861.777396 cmd_parse_build_commands 0:2: M-3
1731238861.777398 cmd_parse_build_commands 0:3 0:0: command-prompt
1731238861.777400 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1731238861.777402 cmd_parse_build_commands 0:3 0:2: -I3
1731238861.777404 cmd_parse_build_commands 0:3 0:3 0:0: send
1731238861.777409 cmd_parse_build_commands 0:3 0:3 0:1: -N
1731238861.777411 cmd_parse_build_commands 0:3 0:3 0:2: %%
1731238861.777414 cmd_parse_build_commands 0:0: command-prompt
1731238861.777416 cmd_parse_build_commands 0:1: -Np(repeat)
1731238861.777418 cmd_parse_build_commands 0:2: -I3
1731238861.777420 cmd_parse_build_commands 0:3 0:0: send
1731238861.777422 cmd_parse_build_commands 0:3 0:1: -N
1731238861.777424 cmd_parse_build_commands 0:3 0:2: %%
1731238861.777426 cmd_parse_build_commands 0:0: send
1731238861.777428 cmd_parse_build_commands 0:1: -N
1731238861.777430 cmd_parse_build_commands 0:2: %%
1731238861.777433 args_parse_flags: next -N
1731238861.777435 args_parse_flag_argument: -N = %%
1731238861.777437 args_parse: flags end at 3 of 3
1731238861.777439 cmd_parse_build_commands: send-keys -N "%%"
1731238861.777442 args_parse_flags: next -Np(repeat)
1731238861.777443 args_parse_flags: -N
1731238861.777445 args_parse_flag_argument: -p = (repeat)
1731238861.777447 args_parse_flags: next -I3
1731238861.777449 args_parse_flag_argument: -I = 3
1731238861.777451 args_parse: flags end at 3 of 4
1731238861.777454 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1731238861.777458 cmd_parse_build_commands: command-prompt -N -I 3 -p (repeat) { send-keys -N "%%" }
1731238861.777460 args_parse_flags: next -Tcopy-mode
1731238861.777462 args_parse_flag_argument: -T = copy-mode
1731238861.777464 args_parse_flags: next M-3
1731238861.777466 args_parse: flags end at 2 of 4
1731238861.777468 args_parse: 2 = M-3 (type STRING)
1731238861.777472 args_parse: 3 = command-prompt -N -I 3 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1731238861.777477 cmd_parse_build_commands: bind-key -T copy-mode M-3 { command-prompt -N -I 3 -p (repeat) { send-keys -N "%%" } }
1731238861.777480 cmdq_get_command: [bind-key/0x63318e840f80] group 1724
1731238861.777482 cmdq_append <global>: [bind-key/0x63318e840f80]
1731238861.777485 yylex_token: end at WS
1731238861.777487 yylex_token: bind
1731238861.777489 yylex_token: end at WS
1731238861.777491 yylex_token: -Tcopy-mode
1731238861.777493 yylex_token: end at WS
1731238861.777495 yylex_token: M-4
1731238861.777497 yylex_token: end at WS
1731238861.777499 yylex_token: command-prompt
1731238861.777501 yylex_token: end at WS
1731238861.777503 yylex_token: -Np(repeat)
1731238861.777505 yylex_token: end at WS
1731238861.777507 yylex_token: -I4
1731238861.777509 yylex_token: end at WS
1731238861.777511 yylex_token: send
1731238861.777512 yylex_token: end at WS
1731238861.777514 yylex_token: -N
1731238861.777516 yylex_token: end at WS
1731238861.777518 yylex_token: %%
1731238861.777521 cmd_parse_build_commands 0:0: bind
1731238861.777523 cmd_parse_build_commands 0:1: -Tcopy-mode
1731238861.777525 cmd_parse_build_commands 0:2: M-4
1731238861.777527 cmd_parse_build_commands 0:3 0:0: command-prompt
1731238861.777529 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1731238861.777531 cmd_parse_build_commands 0:3 0:2: -I4
1731238861.777533 cmd_parse_build_commands 0:3 0:3 0:0: send
1731238861.777535 cmd_parse_build_commands 0:3 0:3 0:1: -N
1731238861.777537 cmd_parse_build_commands 0:3 0:3 0:2: %%
1731238861.777539 cmd_parse_build_commands 0:0: command-prompt
1731238861.777541 cmd_parse_build_commands 0:1: -Np(repeat)
1731238861.777543 cmd_parse_build_commands 0:2: -I4
1731238861.777545 cmd_parse_build_commands 0:3 0:0: send
1731238861.777547 cmd_parse_build_commands 0:3 0:1: -N
1731238861.777549 cmd_parse_build_commands 0:3 0:2: %%
1731238861.777552 cmd_parse_build_commands 0:0: send
1731238861.777554 cmd_parse_build_commands 0:1: -N
1731238861.777555 cmd_parse_build_commands 0:2: %%
1731238861.777559 args_parse_flags: next -N
1731238861.777561 args_parse_flag_argument: -N = %%
1731238861.777563 args_parse: flags end at 3 of 3
1731238861.777565 cmd_parse_build_commands: send-keys -N "%%"
1731238861.777568 args_parse_flags: next -Np(repeat)
1731238861.777569 args_parse_flags: -N
1731238861.777571 args_parse_flag_argument: -p = (repeat)
1731238861.777573 args_parse_flags: next -I4
1731238861.777578 args_parse_flag_argument: -I = 4
1731238861.777580 args_parse: flags end at 3 of 4
1731238861.777583 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1731238861.777587 cmd_parse_build_commands: command-prompt -N -I 4 -p (repeat) { send-keys -N "%%" }
1731238861.777589 args_parse_flags: next -Tcopy-mode
1731238861.777591 args_parse_flag_argument: -T = copy-mode
1731238861.777593 args_parse_flags: next M-4
1731238861.777595 args_parse: flags end at 2 of 4
1731238861.777597 args_parse: 2 = M-4 (type STRING)
1731238861.777601 args_parse: 3 = command-prompt -N -I 4 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1731238861.777606 cmd_parse_build_commands: bind-key -T copy-mode M-4 { command-prompt -N -I 4 -p (repeat) { send-keys -N "%%" } }
1731238861.777609 cmdq_get_command: [bind-key/0x63318e841860] group 1736
1731238861.777611 cmdq_append <global>: [bind-key/0x63318e841860]
1731238861.777615 yylex_token: end at WS
1731238861.777617 yylex_token: bind
1731238861.777620 yylex_token: end at WS
1731238861.777622 yylex_token: -Tcopy-mode
1731238861.777624 yylex_token: end at WS
1731238861.777625 yylex_token: M-5
1731238861.777627 yylex_token: end at WS
1731238861.777629 yylex_token: command-prompt
1731238861.777631 yylex_token: end at WS
1731238861.777633 yylex_token: -Np(repeat)
1731238861.777635 yylex_token: end at WS
1731238861.777637 yylex_token: -I5
1731238861.777639 yylex_token: end at WS
1731238861.777641 yylex_token: send
1731238861.777643 yylex_token: end at WS
1731238861.777644 yylex_token: -N
1731238861.777647 yylex_token: end at WS
1731238861.777648 yylex_token: %%
1731238861.777651 cmd_parse_build_commands 0:0: bind
1731238861.777653 cmd_parse_build_commands 0:1: -Tcopy-mode
1731238861.777655 cmd_parse_build_commands 0:2: M-5
1731238861.777657 cmd_parse_build_commands 0:3 0:0: command-prompt
1731238861.777659 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1731238861.777661 cmd_parse_build_commands 0:3 0:2: -I5
1731238861.777663 cmd_parse_build_commands 0:3 0:3 0:0: send
1731238861.777665 cmd_parse_build_commands 0:3 0:3 0:1: -N
1731238861.777667 cmd_parse_build_commands 0:3 0:3 0:2: %%
1731238861.777669 cmd_parse_build_commands 0:0: command-prompt
1731238861.777671 cmd_parse_build_commands 0:1: -Np(repeat)
1731238861.777673 cmd_parse_build_commands 0:2: -I5
1731238861.777675 cmd_parse_build_commands 0:3 0:0: send
1731238861.777677 cmd_parse_build_commands 0:3 0:1: -N
1731238861.777679 cmd_parse_build_commands 0:3 0:2: %%
1731238861.777682 cmd_parse_build_commands 0:0: send
1731238861.777684 cmd_parse_build_commands 0:1: -N
1731238861.777686 cmd_parse_build_commands 0:2: %%
1731238861.777688 args_parse_flags: next -N
1731238861.777690 args_parse_flag_argument: -N = %%
1731238861.777692 args_parse: flags end at 3 of 3
1731238861.777695 cmd_parse_build_commands: send-keys -N "%%"
1731238861.777697 args_parse_flags: next -Np(repeat)
1731238861.777699 args_parse_flags: -N
1731238861.777701 args_parse_flag_argument: -p = (repeat)
1731238861.777703 args_parse_flags: next -I5
1731238861.777705 args_parse_flag_argument: -I = 5
1731238861.777707 args_parse: flags end at 3 of 4
1731238861.777710 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1731238861.777714 cmd_parse_build_commands: command-prompt -N -I 5 -p (repeat) { send-keys -N "%%" }
1731238861.777716 args_parse_flags: next -Tcopy-mode
1731238861.777718 args_parse_flag_argument: -T = copy-mode
1731238861.777720 args_parse_flags: next M-5
1731238861.777722 args_parse: flags end at 2 of 4
1731238861.777723 args_parse: 2 = M-5 (type STRING)
1731238861.777727 args_parse: 3 = command-prompt -N -I 5 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1731238861.777733 cmd_parse_build_commands: bind-key -T copy-mode M-5 { command-prompt -N -I 5 -p (repeat) { send-keys -N "%%" } }
1731238861.777735 cmdq_get_command: [bind-key/0x63318e841f30] group 1748
1731238861.777737 cmdq_append <global>: [bind-key/0x63318e841f30]
1731238861.777741 yylex_token: end at WS
1731238861.777742 yylex_token: bind
1731238861.777745 yylex_token: end at WS
1731238861.777749 yylex_token: -Tcopy-mode
1731238861.777751 yylex_token: end at WS
1731238861.777753 yylex_token: M-6
1731238861.777755 yylex_token: end at WS
1731238861.777757 yylex_token: command-prompt
1731238861.777759 yylex_token: end at WS
1731238861.777761 yylex_token: -Np(repeat)
1731238861.777763 yylex_token: end at WS
1731238861.777765 yylex_token: -I6
1731238861.777767 yylex_token: end at WS
1731238861.777769 yylex_token: send
1731238861.777771 yylex_token: end at WS
1731238861.777772 yylex_token: -N
1731238861.777774 yylex_token: end at WS
1731238861.777776 yylex_token: %%
1731238861.777779 cmd_parse_build_commands 0:0: bind
1731238861.777781 cmd_parse_build_commands 0:1: -Tcopy-mode
1731238861.777783 cmd_parse_build_commands 0:2: M-6
1731238861.777785 cmd_parse_build_commands 0:3 0:0: command-prompt
1731238861.777787 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1731238861.777789 cmd_parse_build_commands 0:3 0:2: -I6
1731238861.777791 cmd_parse_build_commands 0:3 0:3 0:0: send
1731238861.777793 cmd_parse_build_commands 0:3 0:3 0:1: -N
1731238861.777795 cmd_parse_build_commands 0:3 0:3 0:2: %%
1731238861.777797 cmd_parse_build_commands 0:0: command-prompt
1731238861.777799 cmd_parse_build_commands 0:1: -Np(repeat)
1731238861.777801 cmd_parse_build_commands 0:2: -I6
1731238861.777803 cmd_parse_build_commands 0:3 0:0: send
1731238861.777805 cmd_parse_build_commands 0:3 0:1: -N
1731238861.777807 cmd_parse_build_commands 0:3 0:2: %%
1731238861.777810 cmd_parse_build_commands 0:0: send
1731238861.777812 cmd_parse_build_commands 0:1: -N
1731238861.777814 cmd_parse_build_commands 0:2: %%
1731238861.777817 args_parse_flags: next -N
1731238861.777819 args_parse_flag_argument: -N = %%
1731238861.777821 args_parse: flags end at 3 of 3
1731238861.777823 cmd_parse_build_commands: send-keys -N "%%"
1731238861.777826 args_parse_flags: next -Np(repeat)
1731238861.777827 args_parse_flags: -N
1731238861.777829 args_parse_flag_argument: -p = (repeat)
1731238861.777831 args_parse_flags: next -I6
1731238861.777833 args_parse_flag_argument: -I = 6
1731238861.777835 args_parse: flags end at 3 of 4
1731238861.777838 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1731238861.777842 cmd_parse_build_commands: command-prompt -N -I 6 -p (repeat) { send-keys -N "%%" }
1731238861.777844 args_parse_flags: next -Tcopy-mode
1731238861.777846 args_parse_flag_argument: -T = copy-mode
1731238861.777848 args_parse_flags: next M-6
1731238861.777850 args_parse: flags end at 2 of 4
1731238861.777852 args_parse: 2 = M-6 (type STRING)
1731238861.777856 args_parse: 3 = command-prompt -N -I 6 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1731238861.777861 cmd_parse_build_commands: bind-key -T copy-mode M-6 { command-prompt -N -I 6 -p (repeat) { send-keys -N "%%" } }
1731238861.777863 cmdq_get_command: [bind-key/0x63318e842750] group 1760
1731238861.777866 cmdq_append <global>: [bind-key/0x63318e842750]
1731238861.777870 yylex_token: end at WS
1731238861.777872 yylex_token: bind
1731238861.777874 yylex_token: end at WS
1731238861.777876 yylex_token: -Tcopy-mode
1731238861.777878 yylex_token: end at WS
1731238861.777880 yylex_token: M-7
1731238861.777882 yylex_token: end at WS
1731238861.777884 yylex_token: command-prompt
1731238861.777886 yylex_token: end at WS
1731238861.777888 yylex_token: -Np(repeat)
1731238861.777890 yylex_token: end at WS
1731238861.777892 yylex_token: -I7
1731238861.777894 yylex_token: end at WS
1731238861.777895 yylex_token: send
1731238861.777897 yylex_token: end at WS
1731238861.777899 yylex_token: -N
1731238861.777901 yylex_token: end at WS
1731238861.777903 yylex_token: %%
1731238861.777905 cmd_parse_build_commands 0:0: bind
1731238861.777907 cmd_parse_build_commands 0:1: -Tcopy-mode
1731238861.777909 cmd_parse_build_commands 0:2: M-7
1731238861.777912 cmd_parse_build_commands 0:3 0:0: command-prompt
1731238861.777914 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1731238861.777916 cmd_parse_build_commands 0:3 0:2: -I7
1731238861.777918 cmd_parse_build_commands 0:3 0:3 0:0: send
1731238861.777920 cmd_parse_build_commands 0:3 0:3 0:1: -N
1731238861.777924 cmd_parse_build_commands 0:3 0:3 0:2: %%
1731238861.777927 cmd_parse_build_commands 0:0: command-prompt
1731238861.777929 cmd_parse_build_commands 0:1: -Np(repeat)
1731238861.777931 cmd_parse_build_commands 0:2: -I7
1731238861.777933 cmd_parse_build_commands 0:3 0:0: send
1731238861.777935 cmd_parse_build_commands 0:3 0:1: -N
1731238861.777937 cmd_parse_build_commands 0:3 0:2: %%
1731238861.777939 cmd_parse_build_commands 0:0: send
1731238861.777941 cmd_parse_build_commands 0:1: -N
1731238861.777943 cmd_parse_build_commands 0:2: %%
1731238861.777946 args_parse_flags: next -N
1731238861.777948 args_parse_flag_argument: -N = %%
1731238861.777950 args_parse: flags end at 3 of 3
1731238861.777953 cmd_parse_build_commands: send-keys -N "%%"
1731238861.777955 args_parse_flags: next -Np(repeat)
1731238861.777957 args_parse_flags: -N
1731238861.777959 args_parse_flag_argument: -p = (repeat)
1731238861.777961 args_parse_flags: next -I7
1731238861.777963 args_parse_flag_argument: -I = 7
1731238861.777965 args_parse: flags end at 3 of 4
1731238861.777967 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1731238861.777971 cmd_parse_build_commands: command-prompt -N -I 7 -p (repeat) { send-keys -N "%%" }
1731238861.777973 args_parse_flags: next -Tcopy-mode
1731238861.777975 args_parse_flag_argument: -T = copy-mode
1731238861.777977 args_parse_flags: next M-7
1731238861.777979 args_parse: flags end at 2 of 4
1731238861.777981 args_parse: 2 = M-7 (type STRING)
1731238861.777985 args_parse: 3 = command-prompt -N -I 7 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1731238861.777990 cmd_parse_build_commands: bind-key -T copy-mode M-7 { command-prompt -N -I 7 -p (repeat) { send-keys -N "%%" } }
1731238861.777993 cmdq_get_command: [bind-key/0x63318e843030] group 1772
1731238861.777995 cmdq_append <global>: [bind-key/0x63318e843030]
1731238861.777998 yylex_token: end at WS
1731238861.778000 yylex_token: bind
1731238861.778002 yylex_token: end at WS
1731238861.778004 yylex_token: -Tcopy-mode
1731238861.778006 yylex_token: end at WS
1731238861.778008 yylex_token: M-8
1731238861.778010 yylex_token: end at WS
1731238861.778012 yylex_token: command-prompt
1731238861.778014 yylex_token: end at WS
1731238861.778016 yylex_token: -Np(repeat)
1731238861.778018 yylex_token: end at WS
1731238861.778019 yylex_token: -I8
1731238861.778021 yylex_token: end at WS
1731238861.778023 yylex_token: send
1731238861.778025 yylex_token: end at WS
1731238861.778027 yylex_token: -N
1731238861.778029 yylex_token: end at WS
1731238861.778031 yylex_token: %%
1731238861.778033 cmd_parse_build_commands 0:0: bind
1731238861.778035 cmd_parse_build_commands 0:1: -Tcopy-mode
1731238861.778037 cmd_parse_build_commands 0:2: M-8
1731238861.778039 cmd_parse_build_commands 0:3 0:0: command-prompt
1731238861.778041 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1731238861.778043 cmd_parse_build_commands 0:3 0:2: -I8
1731238861.778045 cmd_parse_build_commands 0:3 0:3 0:0: send
1731238861.778047 cmd_parse_build_commands 0:3 0:3 0:1: -N
1731238861.778049 cmd_parse_build_commands 0:3 0:3 0:2: %%
1731238861.778052 cmd_parse_build_commands 0:0: command-prompt
1731238861.778054 cmd_parse_build_commands 0:1: -Np(repeat)
1731238861.778056 cmd_parse_build_commands 0:2: -I8
1731238861.778058 cmd_parse_build_commands 0:3 0:0: send
1731238861.778060 cmd_parse_build_commands 0:3 0:1: -N
1731238861.778062 cmd_parse_build_commands 0:3 0:2: %%
1731238861.778064 cmd_parse_build_commands 0:0: send
1731238861.778066 cmd_parse_build_commands 0:1: -N
1731238861.778068 cmd_parse_build_commands 0:2: %%
1731238861.778071 args_parse_flags: next -N
1731238861.778073 args_parse_flag_argument: -N = %%
1731238861.778075 args_parse: flags end at 3 of 3
1731238861.778077 cmd_parse_build_commands: send-keys -N "%%"
1731238861.778080 args_parse_flags: next -Np(repeat)
1731238861.778082 args_parse_flags: -N
1731238861.778084 args_parse_flag_argument: -p = (repeat)
1731238861.778085 args_parse_flags: next -I8
1731238861.778087 args_parse_flag_argument: -I = 8
1731238861.778089 args_parse: flags end at 3 of 4
1731238861.778095 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1731238861.778099 cmd_parse_build_commands: command-prompt -N -I 8 -p (repeat) { send-keys -N "%%" }
1731238861.778102 args_parse_flags: next -Tcopy-mode
1731238861.778104 args_parse_flag_argument: -T = copy-mode
1731238861.778105 args_parse_flags: next M-8
1731238861.778107 args_parse: flags end at 2 of 4
1731238861.778109 args_parse: 2 = M-8 (type STRING)
1731238861.778113 args_parse: 3 = command-prompt -N -I 8 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1731238861.778119 cmd_parse_build_commands: bind-key -T copy-mode M-8 { command-prompt -N -I 8 -p (repeat) { send-keys -N "%%" } }
1731238861.778121 cmdq_get_command: [bind-key/0x63318e843850] group 1784
1731238861.778123 cmdq_append <global>: [bind-key/0x63318e843850]
1731238861.778130 yylex_token: end at WS
1731238861.778132 yylex_token: bind
1731238861.778134 yylex_token: end at WS
1731238861.778136 yylex_token: -Tcopy-mode
1731238861.778138 yylex_token: end at WS
